my-workspace-perfectshuffle
solution_idx: 5 | avg: 1182.1667778519013 | fitness: 0.0008459043332422909
solution_idx: 6 | avg: 1184.7444963308872 | fitness: 0.000844063849291527
solution_idx: 7 | avg: 1189.9766511007338 | fitness: 0.0008403526229485221
solution_idx: 1 | avg: 1189.3335557038026 | fitness: 0.0008408070176816274
solution_idx: 2 | avg: 1187.1100733822548 | fitness: 0.0008423818670419078
solution_idx: 3 | avg: 1189.003335557038 | fitness: 0.0008410405337773997
solution_idx: 4 | avg: 1184.5156771180787 | fitness: 0.0008442269016084241
solution_idx: 5 | avg: 1186.9486324216143 | fitness: 0.0008424964422932091
solution_idx: 6 | avg: 1183.7885256837892 | fitness: 0.0008447454746381936
solution_idx: 7 | avg: 1183.6511007338227 | fitness: 0.0008448435517696344
solution_idx: 1 | avg: 1182.3922615076717 | fitness: 0.0008457430182475122
solution_idx: 2 | avg: 1183.908605737158 | fitness: 0.0008446597948135973
solution_idx: 3 | avg: 1186.231487658439 | fitness: 0.0008430057795666422
solution_idx: 4 | avg: 1184.396931287525 | fitness: 0.0008443115425104385
solution_idx: 5 | avg: 1182.3922615076717 | fitness: 0.0008457430182475122
solution_idx: 6 | avg: 1184.675783855904 | fitness: 0.0008441128059064245
solution_idx: 7 | avg: 1184.8305537024683 | fitness: 0.000844002542705459
solution_idx: 1 | avg: 1182.8025350233488 | fitness: 0.0008454496590846923
solution_idx: 2 | avg: 1190.6704469646431 | fitness: 0.00083986295498413
solution_idx: 3 | avg: 1182.6577718478986 | fitness: 0.000845553146315103
solution_idx: 4 | avg: 1182.9879919946632 | fitness: 0.0008453171179817955
solution_idx: 5 | avg: 1182.3922615076717 | fitness: 0.0008457430182475122
solution_idx: 6 | avg: 1189.4489659773183 | fitness: 0.0008407254355619568
solution_idx: 7 | avg: 1182.7044696464309 | fitness: 0.0008455197605695611
solution_idx: 1 | avg: 1180.589726484323 | fitness: 0.0008470343063020708
solution_idx: 2 | avg: 1183.3622414943295 | fitness: 0.0008450497784492576
solution_idx: 3 | avg: 1183.422281521014 | fitness: 0.0008450069054933905
solution_idx: 4 | avg: 1182.8012008005337 | fitness: 0.0008454506127683911
solution_idx: 5 | avg: 1184.7818545697132 | fitness: 0.0008440372344858185
solution_idx: 6 | avg: 1182.6577718478986 | fitness: 0.000845553146315103
solution_idx: 7 | avg: 1184.7558372248166 | fitness: 0.0008440557696195105
solution_idx: 1 | avg: 1187.2361574382921 | fitness: 0.0008422924063883862
solution_idx: 2 | avg: 1183.3202134756505 | fitness: 0.0008450797921069885
solution_idx: 3 | avg: 1182.2881921280855 | fitness: 0.0008458174636761179
solution_idx: 4 | avg: 1184.241494329553 | fitness: 0.0008444223621518519
solution_idx: 5 | avg: 1184.9379586390928 | fitness: 0.0008439260407764344
solution_idx: 6 | avg: 1183.8318879252836 | fitness: 0.0008447145326964821
solution_idx: 7 | avg: 1185.008672448299 | fitness: 0.0008438756806175436
solution_idx: 1 | avg: 1183.4669779853236 | fitness: 0.0008449749917841824
solution_idx: 2 | avg: 1183.1240827218146 | fitness: 0.0008452198840374107
solution_idx: 3 | avg: 1183.3202134756505 | fitness: 0.0008450797921069885
solution_idx: 4 | avg: 1186.5456971314209 | fitness: 0.0008427825429880943
solution_idx: 5 | avg: 1180.589726484323 | fitness: 0.0008470343063020708
solution_idx: 6 | avg: 1182.2121414276185 | fitness: 0.0008458718743933873
solution_idx: 7 | avg: 1190.6617745163442 | fitness: 0.0008398690723116627
solution_idx: 1 | avg: 1180.2521681120747 | fitness: 0.0008472765626006812
solution_idx: 2 | avg: 1184.0466977985323 | fitness: 0.0008445612844993989
solution_idx: 3 | avg: 1182.1701134089392 | fitness: 0.0008459019464773743
solution_idx: 4 | avg: 1182.657104736491 | fitness: 0.0008455536232734263
solution_idx: 5 | avg: 1185.5243495663776 | fitness: 0.0008435086131851819
solution_idx: 6 | avg: 1182.3789192795198 | fitness: 0.0008457525618008717
solution_idx: 7 | avg: 1183.209472981988 | fitness: 0.0008451588859238477
solution_idx: 1 | avg: 1181.3815877251502 | fitness: 0.0008464665527127304
solution_idx: 2 | avg: 1186.4449633088725 | fitness: 0.000842854098525652
solution_idx: 3 | avg: 1186.0767178118747 | fitness: 0.0008431157824637541
solution_idx: 4 | avg: 1182.6237491661107 | fitness: 0.0008455774718756647
solution_idx: 5 | avg: 1180.849899933289 | fitness: 0.0008468476815355568
solution_idx: 6 | avg: 1182.5023348899267 | fitness: 0.0008456642921496515
solution_idx: 7 | avg: 1183.785190126751 | fitness: 0.0008447478548814479
solution_idx: 1 | avg: 1180.2521681120747 | fitness: 0.0008472765626006812
solution_idx: 2 | avg: 1180.5356904603068 | fitness: 0.0008470730771469404
solution_idx: 3 | avg: 1192.599733155437 | fitness: 0.0008385042962856888
solution_idx: 4 | avg: 1181.1561040693796 | fitness: 0.0008466281438623978
solution_idx: 5 | avg: 1180.849899933289 | fitness: 0.0008468476815355568
solution_idx: 6 | avg: 1181.0900600400266 | fitness: 0.0008466754854969404
solution_idx: 7 | avg: 1182.6157438292196 | fitness: 0.0008455831957403816
solution_idx: 1 | avg: 1186.716477651768 | fitness: 0.0008426612580443513
solution_idx: 2 | avg: 1181.918612408272 | fitness: 0.0008460819463384238
solution_idx: 3 | avg: 1182.8559039359573 | fitness: 0.000845411513500923
solution_idx: 4 | avg: 1181.2615076717811 | fitness: 0.0008465525994925203
solution_idx: 5 | avg: 1180.2521681120747 | fitness: 0.0008472765626006812
solution_idx: 6 | avg: 1192.3188792528351 | fitness: 0.0008387018082164803
solution_idx: 7 | avg: 1180.9659773182123 | fitness: 0.0008467644447055473
solution_idx: 1 | avg: 1180.2521681120747 | fitness: 0.0008472765626006812
solution_idx: 2 | avg: 1180.9659773182123 | fitness: 0.0008467644447055473
solution_idx: 3 | avg: 1182.8298865910608 | fitness: 0.0008454301090430001
solution_idx: 4 | avg: 1183.4462975316878 | fitness: 0.0008449897575290898
solution_idx: 6 | avg: 1180.2521681120747 | fitness: 0.0008472765626006812
solution_idx: 7 | avg: 1184.1474316210806 | fitness: 0.000844489438811698
solution_idx: 1 | avg: 1181.9266177451634 | fitness: 0.0008460762157195204
solution_idx: 2 | avg: 1181.0280186791194 | fitness: 0.0008467199627646564
solution_idx: 3 | avg: 1186.0246831220813 | fitness: 0.0008431527726451767
solution_idx: 4 | avg: 1183.0380253502335 | fitness: 0.0008452813676077353
solution_idx: 5 | avg: 1180.6904603068713 | fitness: 0.0008469620392631034
solution_idx: 6 | avg: 1182.7925283522347 | fitness: 0.0008454568117648785
solution_idx: 7 | avg: 1185.1901267511676 | fitness: 0.0008437464820443543
solution_idx: 1 | avg: 1185.628418945964 | fitness: 0.0008434345736154084
solution_idx: 2 | avg: 1181.0280186791194 | fitness: 0.0008467199627646564
solution_idx: 3 | avg: 1179.3815877251502 | fitness: 0.0008479019940686455
solution_idx: 4 | avg: 1181.7785190126751 | fitness: 0.0008461822447369045
solution_idx: 5 | avg: 1184.2528352234824 | fitness: 0.0008444142756147916
solution_idx: 6 | avg: 1183.4723148765843 | fitness: 0.0008449711813531377
solution_idx: 7 | avg: 1185.4603068712474 | fitness: 0.0008435541824586875
solution_idx: 1 | avg: 1180.2521681120747 | fitness: 0.0008472765626006812
solution_idx: 2 | avg: 1180.8492328218813 | fitness: 0.0008468481599554373
solution_idx: 3 | avg: 1182.5650433622416 | fitness: 0.0008456194486831973
solution_idx: 4 | avg: 1185.0680453635757 | fitness: 0.0008438334017294363
solution_idx: 5 | avg: 1181.0920613742494 | fitness: 0.0008466740508241658
solution_idx: 6 | avg: 1181.0280186791194 | fitness: 0.0008467199627646564
solution_idx: 7 | avg: 1186.3789192795198 | fitness: 0.0008429010190161618
solution_idx: 1 | avg: 1180.9066044029353 | fitness: 0.0008468070178213616
solution_idx: 2 | avg: 1182.9319546364243 | fitness: 0.0008453571619910727
solution_idx: 3 | avg: 1181.0280186791194 | fitness: 0.0008467199627646564
solution_idx: 4 | avg: 1183.4723148765843 | fitness: 0.0008449711813531377
solution_idx: 5 | avg: 1182.1034022681788 | fitness: 0.0008459496843349193
solution_idx: 6 | avg: 1182.691127418279 | fitness: 0.0008455292990849782
solution_idx: 7 | avg: 1182.0560373582389 | fitness: 0.0008459835814847548
solution_idx: 1 | avg: 1179.3815877251502 | fitness: 0.0008479019940686455
solution_idx: 2 | avg: 1181.881921280854 | fitness: 0.0008461082126683679
solution_idx: 3 | avg: 1180.8492328218813 | fitness: 0.0008468481599554373
solution_idx: 4 | avg: 1188.5416944629753 | fitness: 0.0008413672020583467
solution_idx: 5 | avg: 1185.9006004002667 | fitness: 0.0008432409931004999
solution_idx: 6 | avg: 1187.1854569713141 | fitness: 0.0008423283777002694
